Directorio,Title,Slug
automatizacion-con-excel,"'La celda, la hoja y el libro. Excel desde cero.'",automatizacion-con-excel/la-celda-la-hoja-y-el-libro
2012-06-11-que-es-excel,'¿ Qué es Excel ? ¿Para qué sirve? Excel desde cero.',automatizacion-con-excel/que-es-excel
2012-06-12-repetir-ultima-accion,'Cómo repetir la última acción en Excel [Excel-Consejo]',automatizacion-con-excel/repetir-la-ultima-accion-en-excel
2012-07-09-que-es-la-referencia,'¿Qué es una referencia en Excel y cómo utilizarla?',automatizacion-con-excel/referencia-en-excel
2012-07-22-insertar-un-dato-en-varias-celdas,'Cómo insertar un dato en varias celdas.',automatizacion-con-excel/insertar-un-dato-en-varias-celdas
2012-07-23-como-resaltar-celda-activa,'Cómo resaltar la celda activa en Excel.',automatizacion-con-excel/resaltar-la-celda-activa
2012-08-11-enviando-tweets-desde-excel,'Cómo enviar Tuits desde Excel o un sencillo cliente de Twitter',automatizacion-con-excel/tuits-desde-excel
2012-08-13-sumar-celdas-visibles-en-excel,'¿Cómo Sumar Celdas Visibles en Excel? ¡Sin problema!',automatizacion-con-excel/sumar-celdas-visibles-en-excel
2012-09-30-5-atajos-de-teclado-para-twitter,'5 atajos de teclado para Twitter que te interesarán',automatizacion-con-excel/5-atajos-de-teclado-para-twitter
2012-10-03-por-que-excel,'¿Por qué Excel es el Mejor Amigo de mi Empresa?',automatizacion-con-excel/excel-para-mi-empresa
2012-10-30-boton-flotante-en-excel,'¿Te gustaría crear un botón flotante en Excel?',automatizacion-con-excel/boton-flotante
2012-10-30-eliminar-duplicados-en-excel,'Cómo Eliminar duplicados en Excel en 20 segundos [Video]',automatizacion-con-excel/eliminar-duplicados-en-excel
2012-11-02-efecto-mouseover-en-excel,'Efecto MouseOver en Excel: ¿es posible?',automatizacion-con-excel/efecto-mouseover-en-excel
2012-12-05-como-transponer-en-excel,'Cómo transponer en Excel (de vertical a horizontal)',automatizacion-con-excel/como-transponer-en-excel
2012-12-05-funcion-si,'Función SI: ¿Para qué sirve y cómo funciona?',automatizacion-con-excel/funcion-if
2012-12-07-generar-datos-de-prueba-en-excel,'Generar datos de prueba en Excel',automatizacion-con-excel/generar-datos-de-prueba-en-excel
2012-12-14-click-to-tweet,'Crea textos tuiteables en tu web con Excel o la alternativa rápida a Click to Tweet',automatizacion-con-excel/click-to-tweet
2012-12-17-crear-tablas-en-excel-paso-a-paso,'Crear tablas en Excel paso a paso.',automatizacion-con-excel/crear-tablas-en-excel
2012-12-31-funcion-si-anidada,'Explicando la función SI anidada',automatizacion-con-excel/ejemplo-funcion-si-anidada
2013-01-02-funcion-sumar-si,'Función Sumar.Si &#8211; Manual de Excel',automatizacion-con-excel/funcion-sumar.si
2013-01-04-9-mejores-sitios-sobre-excel,'Los 9 mejores sitios web sobre Excel',automatizacion-con-excel/mejores-sitios-sobre-excel
2013-01-07-que-es-un-rango-en-excel,"'Entonces, ¿qué es un rango en Excel?'",automatizacion-con-excel/rango-en-excel
2013-01-14-sumar-fechas-en-excel,'Sumar Fechas en Excel (y restar también)',automatizacion-con-excel/sumar-fechas-en-excel
2013-01-17-eliminar-espacios-en-excel,'La función ESPACIOS: eliminar espacios en Excel',automatizacion-con-excel/eliminar-espacios-en-excel
2013-01-17-la-funcion-caracter-en-excel,'La función Caracter en Excel ¿Qué hace y para qué sirve?',automatizacion-con-excel/funcion-caracter-en-excel
2013-01-22-nombres-de-rango-en-excel,'Nombres de rango en Excel ¿Para qué?',automatizacion-con-excel/nombres-de-rango-en-excel
2013-01-22-que-es-una-formula-en-excel,'¿ Qué es una fórmula en Excel ?',automatizacion-con-excel/que-es-una-formula-en-excel
2013-01-23-funcion-promedio-en-excel,'La función Promedio en Excel',automatizacion-con-excel/funcion-promedio-en-excel
2013-01-25-como-crear-una-lista-desplegable-en-excel,'Cómo crear una lista desplegable en Excel.',automatizacion-con-excel/crear-una-lista-desplegable-en-excel
2013-01-26-como-utilizar-funciones-matematicas-sin-formulas,'Cómo utilizar funciones matemáticas sin fórmulas',automatizacion-con-excel/operaciones-matematicas
2013-01-31-la-funcion-hoy,'La función Hoy en Excel: obtener la fecha actual.',automatizacion-con-excel/funcion-hoy
2013-02-01-que-son-los-argumentos-en-excel,'¿Qué son los argumentos en Excel?',automatizacion-con-excel/argumentos-en-excel
2013-02-02-buscador-con-formato-condicional,'Buscar un valor en Excel usando formato condicional.',automatizacion-con-excel/formato-condicional
2013-02-04-como-separar-un-texto-en-excel,'Cómo separar un texto en Excel',automatizacion-con-excel/separar-un-texto-en-excel
2013-02-07-proteger-una-hoja-en-excel,'¿Cómo proteger una hoja en Excel?',automatizacion-con-excel/proteger-una-hoja-en-excel
2013-02-07-ranking-alexa-subiendo,'¡Llegué al grupo de los 500.000! En el ranking Alexa',automatizacion-con-excel/ranking-alexa
2013-02-08-funcion-residuo,'La función RESIDUO en Excel.',automatizacion-con-excel/funcion-residuo
2013-02-09-dibujar-un-barco-en-grafico,'¿ Dibujar un barco&#8230; dentro de un gráfico?',automatizacion-con-excel/dibujar-un-barco
2013-02-11-dia-del-amor-y-la-amistad,'Día del amor y la amistad: un regalo con Excel.',automatizacion-con-excel/dia-del-amor-y-la-amistad
2013-02-13-funcion-redondear,'La función REDONDEAR &#8211; Diccionario de Funciones.',automatizacion-con-excel/funcion-redondear
2013-02-13-las-macros-en-excel,'#01 Comencemos con las Macros en Excel.',automatizacion-con-excel/comenzando-con-macros-en-excel
